year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume,country_clean,fuel_clean,brand_clean,model_clean,sales_volume_reported,volume_mismatch_flag,assembly_clean,category_clean,brand_verified
2026,PICKUP_TRUCK,DFSK,FE 84 GS N,2393.0,G,,,60,10,1440,43,14,120,0,0,0,0,0,0,1687,,G,DFSK,FE 84 GS N,2074,True,TIDAK DIKETAHUI,PICKUP TRUCK,False
2026,PICKUP_TRUCK,DFSK,FE AV 6M,2393.0,D,,,254,0,112,60,0,2280,0,0,0,0,0,0,2706,,D,DFSK,FE AV 6M,42,True,TIDAK DIKETAHUI,PICKUP TRUCK,False
2026,PICKUP_TRUCK,FAW,G500A-6X6,6373.0,D,CBU,India,1,0,0,1,0,0,0,0,0,0,0,0,2,India,D,FAW,G500A-6X6,4,True,CBU,PICKUP TRUCK,False
2026,PICKUP_TRUCK,FAW,G500-B4X4,6373.0,D,CBU,India,0,0,2,0,0,8,0,0,0,0,0,0,10,India,D,FAW,G500-B4X4,22,True,CBU,PICKUP TRUCK,False
2026,PICKUP_TRUCK,FAW,GKE28042T,6373.0,D,CBU,India,0,0,0,0,0,1,0,0,0,0,0,0,1,India,D,FAW,GKE28042T,15,True,CBU,PICKUP TRUCK,False
2026,PICKUP_TRUCK,FAW,CWE28064R,6373.0,D,CBU,India,2,0,0,0,0,0,0,0,0,0,0,0,2,India,D,FAW,CWE28064R,73,True,CBU,PICKUP TRUCK,False
2026,PICKUP_TRUCK,FAW,GWE28064T,6373.0,D,CKD,INA,13,0,0,3,4,0,0,0,0,0,0,0,20,Indonesia,D,FAW,GWE28064T,4,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,FAW,GWE37064T,7698.0,D,CBU,Thailand,0,4,0,0,0,0,0,0,0,0,0,0,4,Thailand,D,FAW,GWE37064T,6,True,CBU,PICKUP TRUCK,False
2026,PICKUP_TRUCK,FAW,,7700.0,D,CBU,China,22,4,11,1,38,0,0,0,0,0,0,0,76,China,D,FAW,TIDAK DIKETAHUI,11,True,CBU,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Axor 4023 T,4570.0,D,CKD,INA,11,17,7,0,0,4,0,0,0,0,0,0,39,Indonesia,D,ISUZU,Axor 4023 T,180,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,,4570.0,D,CKD,INA,17,32,9,0,0,0,0,0,0,0,0,0,58,Indonesia,D,ISUZU,TIDAK DIKETAHUI,121,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Tractor Head (DB290TH),4570.0,D,CKD,INA,0,36,0,0,3,0,0,0,0,0,0,0,39,Indonesia,D,ISUZU,Tractor Head (DB290TH),83,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Chassis (FD290CG),4570.0,D,CKD,INA,310,8,269,10,0,0,0,0,0,0,0,0,597,Indonesia,D,ISUZU,Chassis (FD290CG),63,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,FM 260 JD (EIV),,-,,,43,4,13,3,29,7,0,0,0,0,0,0,99,,UNKNOWN,ISUZU,FM 260 JD (EIV),8,True,TIDAK DIKETAHUI,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,FM 280 TH,,D,CKD,INA,100,21,3,0,129,2,0,0,0,0,0,0,255,Indonesia,D,ISUZU,FM 280 TH,106,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,FVZ34 P,,D,CKD,INA,0,4,65,29,0,36,0,0,0,0,0,0,134,Indonesia,D,ISUZU,FVZ34 P,34,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,CYZ 51 N,,D,CKD,INA,6,26,0,12,0,6,0,0,0,0,0,0,50,Indonesia,D,ISUZU,CYZ 51 N,16,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,GVZ34K,,D,CKD,INA,32,9,0,4,71,117,0,0,0,0,0,0,233,Indonesia,D,ISUZU,GVZ34K,1085,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,GVZ 34 K HP ABS,,D,CKD,INA,5,5,41,85,0,0,0,0,0,0,0,0,136,Indonesia,D,ISUZU,GVZ 34 K HP ABS,620,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Axor 2523 R / 4500,,D,CKD,INA,55,151,22,0,35,0,0,0,0,0,0,0,263,Indonesia,D,ISUZU,Axor 2523 R / 4500,0,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Axor 2528 R / 5700 (6X2),7790.0,D,CKD,INA,7,0,0,0,6,108,0,0,0,0,0,0,121,Indonesia,D,ISUZU,Axor 2528 R / 5700 (6X2),25,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Axor 2528 R / 5700 M-CAB (6X4) M/T,5193.0,D,CKD,INA,16,0,0,49,24,48,0,0,0,0,0,0,137,Indonesia,D,ISUZU,Axor 2528 R / 5700 M-CAB (6X4) M/T,302,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Axor 2528 R/5700 6X2,7545.0,D,CKD,INA,109,48,0,26,152,0,0,0,0,0,0,0,335,Indonesia,D,ISUZU,Axor 2528 R/5700 6X2,9,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Axor 4028 T [E4],7545.0,D,CKD,INA,61,12,11,0,37,0,0,0,0,0,0,0,121,Indonesia,D,ISUZU,Axor 4028 T [E4],238,True,CKD,PICKUP TRUCK,False
2026,PICKUP_TRUCK,ISUZU,Axor 2528 C,7545.0,D,CKD,INA,1,2,0,0,4,0,0,0,0,0,0,0,7,Indonesia,D,ISUZU,Axor 2528 C,65,True,CKD,PICKUP TRUCK,False
