year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume
2023,SEDAN,BMW,840i Coupe AT,2998.0,G,CBU,Germany,0,0,1,4,4,0,7,0,2,0,0,0,18
2023,SEDAN,BMW,840i Gran Coupe AT,2998.0,G,CBU,Germany,0,0,1,1,1,0,0,0,1,1,0,0,5
2023,SEDAN,HONDA,New ACCORD VTi-L,2354.0,G,CBU,Thailand,0,69,24,51,35,60,28,60,63,16,7,7,420
2023,SEDAN,HONDA,Civic Type R,2000.0,G,CBU,UK,0,0,15,0,3,0,3,36,26,0,17,0,100
2023,SEDAN,LEXUS,ES 250,2494.0,G,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,LEXUS,ES 300 h,2494.0,HYBRID,CBU,Japan,5,13,26,7,22,31,7,23,26,9,15,3,187
2023,SEDAN,LEXUS,ES 300h Ultra Luxury,2494.0,HYBRID,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,MAZDA,MX-5 RF AT,1999.0,G,CBU,Japan,4,0,6,4,0,3,2,20,13,2,6,2,62
2023,SEDAN,MAZDA,New MX-5 RF MT,1999.0,G,CBU,Japan,0,0,1,0,0,2,2,8,6,1,0,1,21
2023,SEDAN,Mazda,3 Sedan,1998.0,G,CBU,Japan,2,0,1,17,3,3,10,19,10,5,5,1,76
2023,SEDAN,Mazda,6 Elite Sedan,2488.0,G,CBU,Japan,0,0,22,2,1,13,1,11,4,2,2,4,62
2023,SEDAN,MERCEDES-BENZ PC,AMG A 35 4MATIC (V177),2000.0,G,,,17,5,3,0,1,1,0,4,7,1,2,4,45
2023,SEDAN,MERCEDES-BENZ PC,A 200,1991.0,G,CKD,INA,0,18,4,1,16,25,23,23,9,9,8,18,154
2023,SEDAN,MERCEDES-BENZ PC,E 200 AVA,1991.0,G,CKD,INA,14,33,37,29,30,27,1,11,10,1,1,1,195
2023,SEDAN,MERCEDES-BENZ PC,E 200 Coupe (C238)*,2999.0,G,,,0,1,1,0,5,3,3,0,4,0,2,0,19
2023,SEDAN,MERCEDES-BENZ PC,E 250 AVA,1991.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,MERCEDES-BENZ PC,E 300 AMG,1991.0,G,CKD,INA,23,27,25,19,15,18,13,29,31,35,31,11,277
2023,SEDAN,MERCEDES-BENZ PC,S 450,2996.0,G,CKD,INA,20,33,29,7,11,17,7,19,15,4,5,3,170
2023,SEDAN,MERCEDES-BENZ PC,EQE 350 (V295),,BEV,,,0,0,0,0,18,4,1,2,7,7,9,5,53
2023,SEDAN,MERCEDES-BENZ PC,S 580e (V223),2999.0,G,,,0,0,0,1,0,0,0,0,0,0,0,0,1
2023,SEDAN,MERCEDES-BENZ PC,EQS 450+ (V297),,BEV,,,0,3,10,11,11,9,1,0,1,5,5,0,56
2023,SEDAN,MERCEDES-BENZ PC,E 200 ( CBU ),1991.0,G,CKD,INA,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,MERCEDES-BENZ PC,E 300e,1991.0,G,,,0,0,0,0,0,1,0,0,0,0,0,0,1
2023,SEDAN,MERCEDES-BENZ PC,CLS 350 AMG,1991.0,G,,,0,0,0,3,2,0,1,1,2,2,0,0,11
2023,SEDAN,MERCEDES-BENZ PC,C 300 AMG Line (W206),1998.0,G,,,54,19,42,4,68,55,73,86,22,31,24,75,553
2023,SEDAN,MERCEDES-BENZ PC,AMG CLA 45 S Shooting Brake (X118),1998.0,-,,,0,0,1,0,0,0,0,0,0,0,0,0,1
2023,SEDAN,MERCEDES-BENZ PC,AMG SL 43,1999.0,G,,,0,0,0,0,0,0,0,4,3,4,10,1,22
2023,SEDAN,TOYOTA,All New Corolla Altis 1.8 V AT,1800.0,G,CBU,Thailand,0,102,29,24,27,26,88,33,40,13,1,1,384
2023,SEDAN,TOYOTA,All New Corolla Altis 1.8 Hybrid AT 2022,1800.0,HYBRID,CBU,Thailand,0,35,11,9,2,8,0,0,0,0,0,0,65
2023,SEDAN,TOYOTA,New Corolla Altis 1.8 Hybrid AT 2023,1800.0,HYBRID,CBU,Thailand,0,0,0,0,0,0,0,0,0,39,17,7,63
2023,SEDAN,TOYOTA,PRIUS 1.8,1798.0,G,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,SEDAN,TOYOTA,All New Camry 2.5 G,2500.0,G,CBU,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,TOYOTA,All New Camry 2.5 V,2500.0,G,CBU,Thailand,17,108,89,58,52,39,26,17,21,15,17,35,494
2023,SEDAN,TOYOTA,All New Camry 2.5 Hybrid Mi,2500.0,HYBRID,CBU,Thailand,2,27,21,23,140,79,22,14,11,15,10,1,365
2023,SEDAN,TOYOTA,GR 86 AT,1998.0,G,CBU,Japan,0,6,11,8,19,9,10,3,8,11,9,3,97
2023,SEDAN,TOYOTA,Supra 3.0 AT,2459.0,G,CBU,Japan,0,0,1,0,0,4,0,0,1,0,3,0,9
2023,SEDAN,TOYOTA,GR Supra 3.0 AT,2459.0,G,CBU,Japan,0,0,0,0,0,0,0,0,0,0,1,0,1
2023,SEDAN,TOYOTA,86 MT,2000.0,G,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,LEXUS,LS 500 Executive,3445.0,G,CBU,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,SEDAN,LEXUS,LS 500 Hybrid,3445.0,HYBRID,CBU,Japan,0,1,0,0,1,0,2,0,3,1,0,0,8
2023,SEDAN,LEXUS,LC 500,4969.0,G,CBU,Japan,0,0,0,0,0,1,1,0,0,1,3,0,6
2023,SEDAN,BMW,M8 Coupe AT,4395.0,G,CBU,Germany,0,0,0,0,1,0,0,0,0,0,0,0,1
