year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume
2024,SEDAN,,All New Civic,1497.0,G,CBU,Thailand,13,3,14,0,0,56,0,0,1,0,0,0,629
2024,SEDAN,BYD,CBU i4 eDrive35 Gran Coupe AT,,BEV,,,0,0,0,0,0,11,0,0,0,3,16,0,127
2024,SEDAN,BYD,Ioniq 6,,BEV,CBU,Germany,0,0,4,1,3,233,745,847,339,36,82,0,3125
2024,SEDAN,MAZDA,Genesis G80,,BEV,,,0,0,0,0,0,466,545,404,152,4,3,109,1703
2024,SEDAN,MAZDA,AMG CLA 45 S (C118),,G,,,1,0,1,2,1,6,0,0,0,9,1,18,46
2024,SEDAN,TOYOTA,C 200 AVA Line (W206),,G,CBU,CHINA,8,1,0,1,0,0,10,1,4,1,0,0,3
2024,SEDAN,TOYOTA,5 GT Activate 1.5L,1332.0,G,CBU,CHINA,2,10,0,0,0,0,7,34,7,5,3,4,53
2024,SEDAN,TOYOTA,5 GT Ignite 1.5L,1496.0,G,,,1,10,12,9,14,4,4,4,13,0,0,0,2
2024,SEDAN,TOYOTA,Cyberster,1498.0,G,,,18,18,0,0,0,0,24,14,18,0,5,1,117
2024,SEDAN,TOYOTA,Mirai AT,1498.0,BEV,CBU,South Korea,0,12,21,13,2,4,7,17,0,13,9,0,49
2024,SEDAN,TOYOTA,245/45R20,,-,CBU,Japan,4,9,0,0,0,26,6,4,3,0,0,16,8
2024,SEDAN,AUDI,A5 2.0 TFSI,1984.0,G,CBU,Germany,0,0,0,0,0,0,0,9,21,1,2,0,1
2024,SEDAN,AUDI,A5 2.0 TFSI A/T SB,1984.0,G,,,0,0,0,0,0,0,1,1,3,61,20,1,2
2024,SEDAN,AUDI,A4 2.0 TFSI A/T,1984.0,G,CBU,Germany,0,0,0,0,0,0,76,58,100,0,0,11,48
2024,SEDAN,AUDI,A6 2.0TFSI AT,1984.0,G,,,6,2,0,0,0,0,0,0,0,0,0,22,48
2024,SEDAN,AUDI,A8L 3.0 AT,2995.0,G,CBU,Germany,1,0,0,0,0,0,0,0,0,0,1,0,80
2024,SEDAN,AUDI,RS4 2.9 TFSI A/T,2900.0,G,,,0,0,1,0,0,0,0,0,0,0,0,20,8
2024,SEDAN,AUDI,220i Coupe AT,,-,,,0,0,1,2,0,8,0,0,0,15,16,0,8
2024,SEDAN,AUDI,320i CKD AT,1998.0,G,CBU,Germany,0,0,0,1,0,0,4,9,4,0,0,0,2
2024,SEDAN,AUDI,330i CKD B7 AT,1998.0,G,,,0,0,0,0,30,6,1,3,0,0,1,0,2
2024,SEDAN,AUDI,330I 62FY A/T,1998.0,G,CBU,Germany,0,0,0,0,0,5,0,0,5,0,0,0,12
2024,SEDAN,AUDI,M2 Coupe RHD MX AT,1998.0,G,,,0,0,0,0,0,0,1,0,0,4,10,17,1
2024,SEDAN,BMW,M3 AT,2993.0,G,,,11,16,0,0,0,0,18,23,5,0,0,0,101
2024,SEDAN,BMW,M3 Competition M xDrive T AT,2993.0,G,,,0,0,10,17,16,3,0,0,0,2,3,1,9
2024,SEDAN,BMW,M3 CS Limousine RHD AT 62AY,2993.0,G,CBU,Germany,2,0,1,0,0,0,6,4,2,7,5,0,7
2024,SEDAN,BMW,M4 Competition M xDrive C RHD AT,2993.0,G,,,2,0,0,7,6,2,9,4,2,0,1,8,1
2024,SEDAN,BMW,430i Coupe AT,2993.0,G,CKD,INA,0,0,11,3,3,2,0,0,0,0,0,0,141
2024,SEDAN,BMW,430i Convertible AT,1998.0,G,,,0,0,1,0,0,0,0,0,2,2,24,6,1
2024,SEDAN,BMW,430i AT,1998.0,G,CKD,INA,31,41,0,0,0,0,0,12,14,0,0,11,40
2024,SEDAN,BMW,M4 Convertible Competition M xDrive 32HK AT,1998.0,G,,,0,10,27,14,22,11,1,0,1,1,2,0,59
2024,SEDAN,BMW,M4 Coupe Competition M xDrive 42BA AT,2993.0,G,CBU,Germany,0,1,12,0,1,3,0,1,0,2,8,0,2
2024,SEDAN,BMW,520i G60 CKD AT,2993.0,G,,,2,3,0,6,12,3,0,1,2,5,0,12,2
2024,SEDAN,BMW,530i CKD AT,1998.0,G,CBU,Germany,1,0,0,10,3,1,0,0,1,5,1,0,210
2024,SEDAN,BMW,520i G30 CKD AT,1998.0,G,,,3,6,1,2,0,1,7,10,6,1,1,1,28
2024,SEDAN,BMW,530e,1998.0,G,CBU,Germany,3,1,11,2,6,9,4,0,1,2,1,1,27
2024,SEDAN,BMW,530i Touring RHD AT,,G,CBU,Germany,5,11,10,5,7,7,0,14,9,0,0,2,14
2024,SEDAN,BMW,i5 eDrive40,1998.0,G,,,0,1,6,16,6,10,0,0,0,1,0,1,68
2024,SEDAN,BMW,i5 M60 xDrive A/T,1998.0,BEV,CBU,Germany,5,0,0,0,0,0,0,0,0,6,4,1,17
2024,SEDAN,BMW,735i Limousine RHD A/T,,BEV,CBU,Germany,0,1,7,0,10,31,6,3,1,0,1,0,91
2024,SEDAN,BMW,735i Limousine RHD AT,,G,,,1,2,1,1,4,1,0,0,0,6,1,0,1
2024,SEDAN,BMW,750e xDrive Sedan RHD PHEV,,G,CBU,Germany,17,19,4,1,2,0,21,51,29,29,19,7,19
2024,SEDAN,BMW,Z4 sDrive30i AT,2998.0,PHEV,,,0,0,91,26,41,10,0,57,47,28,10,1,83
2024,SEDAN,BMW,Z4 M40i AT,2998.0,G,,,0,0,0,0,0,0,0,48,19,0,1,1,22
2024,SEDAN,BMW,840i Coupe AT,2998.0,G,,,0,0,0,0,0,0,1,1,0,3,0,10,12
2024,SEDAN,BMW,840i Gran Coupe AT,1998.0,G,CBU,Germany,0,0,1,0,0,0,3,0,2,6,5,14,322
2024,SEDAN,BMW,New ACCORD HEV,2998.0,G,,,5,4,7,0,1,5,1,4,3,8,8,11,166
2024,SEDAN,BMW,Civic Type R,2998.0,HEV,,,5,6,1,2,2,0,5,10,10,3,1,0,116
2024,SEDAN,BMW,ES 300 h,2998.0,G,,,2,3,5,4,1,5,1,2,0,3,2,0,4
2024,SEDAN,BMW,MX-5 RF AT,2000.0,HEV,,,1,2,1,1,3,0,3,2,1,16,9,3,21
2024,SEDAN,BMW,New MX-5 RF MT,2000.0,G,,,1,10,5,2,1,0,19,4,13,0,0,9,36
2024,SEDAN,Mazda,3 Sedan,2494.0,G,CKD,INA,0,0,15,0,6,13,0,0,0,7,0,2,76
2024,SEDAN,Mazda,6 Elite Sedan,1999.0,G,,,0,0,0,0,1,0,8,1,3,6,1,1,19
2024,SEDAN,Mazda,AMG A 35 4MATIC (V177),1999.0,G,CKD,INA,0,0,0,14,4,2,6,14,4,8,0,16,23
2024,SEDAN,Mazda,A 200,1998.0,G,,,9,8,0,0,0,12,13,33,54,0,0,0,122
2024,SEDAN,Mazda,E 200 Coupe (C238)*,2488.0,G,CKD,INA,9,3,4,1,0,7,19,50,9,0,5,2,1
2024,SEDAN,Mazda,E 300 AMG,2000.0,G,,,0,0,15,12,23,12,0,0,0,1,0,0,41
2024,SEDAN,Mazda,S 450,1991.0,G,,,4,0,0,0,0,0,1,0,0,9,1,0,43
2024,SEDAN,Mazda,EQE 350 (V295),2999.0,G,,,6,0,1,0,0,1,3,1,1,0,0,0,137
2024,SEDAN,Mazda,E 200 (W214) CKD,,G,CBU,Germany,221,213,0,0,0,2,391,576,484,3557,3911,0,8
2024,SEDAN,Mazda,E 300 (W214) CKD,,G,,,0,0,221,434,350,206,383,329,2093,2669,3153,0,48
2024,4X2,,OmodaE5 Pure,1500.0,BEV,,,0,26,0,410,0,596,0,449,206,235,180,144,175
2024,4X2,,Tiggo 5X Champion,1500.0,G,,,0,30,0,35,7,98,31,17,7,3,6,12,94
2024,4X2,,Tiggo 8 Facelift,2000.0,G,CKD,INA,0,27,8,13,4,13,177,8,11,9,3,1,785
