year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume
2026,SEDAN,,i7 M70 xDrive AT S,,BEV,,,8,3,1,2,0,5,0,0,0,0,0,0,1
2026,SEDAN,BYD,CBU i4 eDrive35 Gran Coupe AT,,BEV,,,0,0,0,0,0,1,0,0,0,0,0,0,4
2026,SEDAN,HYUNDAI,218i Gran Coupe,,BEV,CBU,Germany,0,0,0,4,0,0,0,0,0,0,0,0,0
2026,SEDAN,HYUNDAI,i5 eDrive40,1499.0,G,,,2,0,0,25,0,50,0,0,0,0,0,0,104
2026,SEDAN,MAZDA,Seal Premium Extended Range,,G,,,1,0,0,0,1,0,0,0,0,0,0,0,1
2026,SEDAN,MAZDA,Ioniq 6,,BEV,,,7,11,8,14,0,55,0,0,0,0,0,0,153
2026,SEDAN,MAZDA,VOLVO Genesis G80 EV,,BEV,,,0,0,0,0,3,0,0,0,0,0,0,0,104
2026,SEDAN,MAZDA,EQS 450+ (V297)*,,BEV,CBU,China,4,3,3,5,1,1,0,0,0,0,0,0,0
2026,SEDAN,AUDI,A 200 (V177),,BEV,,,1,0,1,3,7,1,0,0,0,0,0,0,12
2026,SEDAN,BMW,AMG A 35 (V177) 1.496 BEV,,-,CBU,South Korea,1,9,4,7,0,8,0,0,0,0,0,0,19
2026,SEDAN,HONDA,AMG CLA 45 S (C118)*,1332.0,-,,,18,3,0,0,0,0,0,0,0,0,0,0,7
2026,SEDAN,FORD,C 200 AVA Line (W206),1496.0,-,,,0,0,0,0,1,0,0,0,0,0,0,0,36
2026,SEDAN,MERCEDES-BENZ PC,5 GT Activate 1.5L,1496.0,-,,,0,0,0,0,0,0,0,0,0,0,0,0,8
2026,SEDAN,MERCEDES-BENZ PC,5 GT Ignite 1.5L,1498.0,G,CBU,INA,2,0,0,0,0,0,0,0,0,0,0,0,21
2026,SEDAN,TOYOTA,Cyberster,1498.0,G,CBU,Hungary,1,0,0,0,0,0,0,0,0,0,0,0,0
2026,SEDAN,TOYOTA,ES90 Electric Vehicles,,G,,,4,0,0,0,0,0,0,0,0,0,0,0,16
2026,SEDAN,MERCEDES-BENZ PC,Vios 1.5 Hev Cvt 2026,1500.0,BEV,,,1,1,0,0,0,0,0,0,0,0,0,0,0
2026,SEDAN,MERCEDES-BENZ PC,All New VIOS 1.5 G CVT FMC,1496.0,BEV,CKD,Thailand,0,0,12,1,2,1,0,0,0,0,0,0,2
2026,SEDAN,MERCEDES-BENZ PC,,1500.0,G,,,26,29,0,0,55,4,0,0,0,0,0,0,0
2026,SEDAN,Mazda,6 Elite Sedan,1984.0,G,CBU,Germany,4,5,7,8,1,3,0,0,0,0,0,0,2
2026,SEDAN,Mazda,E 200 (W214) CKD,1984.0,G,CBU,Germany,0,0,0,0,0,0,0,0,0,0,0,0,39
2026,SEDAN,Mazda,S 450 L (V223),1984.0,G,CBU,Germany,3,4,4,5,8,8,0,0,0,0,0,0,2
2026,SEDAN,Mazda,AMG CLE 53 4M+ Cabrio (A236)*,1984.0,G,CBU,Germany,8,9,6,9,2,5,0,0,0,0,0,0,3
2026,SEDAN,Mazda,BRZ 2.4 AT ES (ZD8),2995.0,G,CBU,Germany,0,1,0,0,0,0,0,0,0,0,0,0,0
2026,SEDAN,Mazda,WRX SEDAN 2.4 MT tS (VBH),1998.0,G,CKD,INA,3,0,0,1,0,4,0,0,0,0,0,0,56
2026,SEDAN,Mazda,All New Corolla Altis 1.8 V A/T 2023,1998.0,G,CKD,INA,1,2,0,0,0,0,0,0,0,0,0,0,12
2026,SEDAN,Mazda,All New Corolla ALTIS 1.8 GR-S HEV CVT,2993.0,G,CBU,Germany,0,1,0,1,0,0,0,0,0,0,0,0,1
2026,SEDAN,Mazda,All New Camry 2.5 V 2021,2993.0,G,CBU,Germany,1,0,0,10,1,2,0,0,0,0,0,0,7
2026,SEDAN,Mazda,GR 86,2993.0,G,CBU,Germany,0,0,0,1,28,1,0,0,0,0,0,0,1
2026,SEDAN,Mazda,GR Supra 3.0 AT,2993.0,G,CBU,Germany,10,29,13,12,0,29,0,0,0,0,0,0,39
2026,SEDAN,Mazda,LS 500 Hybrid,2993.0,G,CBU,Germany,2,2,0,3,0,2,0,0,0,0,0,0,2
2026,SEDAN,Mazda,AMG GT 63 PRO 4MATIC+ (C192)*,1998.0,G,,,124,180,130,226,856,201,0,0,0,0,0,0,93
2026,SEDAN,Mazda,,2993.0,G,,,0,0,0,0,0,0,0,0,0,0,0,0,3
2026,4X2,,i440 Gran Coupe AT,1499.0,G,CKD,Germany,0,0,0,84,11,12,0,0,0,0,0,0,0
2026,4X2,BAIC,"218 AT 79,97 kWh",1420.0,-,CKD,Germany,32,22,17,71,24,13,0,0,0,0,0,0,3
2026,4X2,BAIC,,1400.0,G,CKD,INA,60,105,0,95,0,281,0,0,0,0,0,0,375
2026,4X2,BAIC,BJ-30 FWD,1500.0,G,CKD,INA,89,38,148,0,33,17,0,0,0,0,0,0,17
2026,4X2,BAIC,Omoda 5 Z,1500.0,-,CKD,INA,0,49,23,0,0,0,0,0,0,0,0,0,95
2026,4X2,BAIC,Omoda E5 CVT BEV,,-,CKD,INA,0,1,0,0,0,26,0,0,0,0,0,0,0
2026,4X2,BAIC,J6T IWD,,BEV,CKD,INA,27,32,0,18,9,125,0,0,0,0,0,0,0
2026,4X2,BAIC,Tiggo 5X Classic,1500.0,-,CKD,INA,19,18,2,19,3,0,0,0,0,0,0,0,297
2026,4X2,BAIC,Tiggo Cross Comfort,1500.0,G,CKD,INA,8,13,11,19,213,4,0,0,0,0,0,0,166
2026,4X2,BAIC,Tiggo Cross Premium,1500.0,G,CKD,INA,61,63,39,112,0,85,0,0,0,0,0,0,694
2026,4X2,BAIC,Tiggo Cross CSH,1500.0,G,CKD,INA,1,6,35,8,1,248,0,0,0,0,0,0,0
2026,4X2,BAIC,Tiggo 8 CSH FWD Premium,1500.0,PHEV,CKD,INA,10,8,5,29,54,198,0,0,0,0,0,0,33
2026,4X2,BAIC,New E-C3 All Electric,1200.0,PHEV,CBU,INA,32,35,13,5,3,53,0,0,0,0,0,0,382
2026,4X2,BAIC,New Citroën C3,1200.0,G,CKD,India,1,13,54,0,219,28,0,0,0,0,0,0,1441
2026,4X2,BAIC,All New Xenia 1.3 X MT,1329.0,G,CKD,India,0,1,4,9,31,126,0,0,0,0,0,0,184
2026,4X2,BAIC,All New Xenia 1.3 R MT,1329.0,G,CBU,INA,135,100,0,2,192,176,0,0,0,0,0,0,247
2026,4X2,BAIC,All New Xenia 1.3 R CVT,1329.0,G,CKD,INA,16,6,6,85,42,161,0,0,0,0,0,0,196
2026,4X2,BAIC,All New Xenia 1.5 R MT,1496.0,G,CBU,INA,27,13,88,2,31,0,0,0,0,0,0,0,175
2026,4X2,BAIC,All New Xenia 1.5 R CVT,1496.0,G,CKD,INA,24,5,45,0,25,71,0,0,0,0,0,0,762
2026,4X2,BAIC,All New Xenia 1.5 R ASA CVT,1496.0,G,CBU,INA,0,0,57,208,76,0,0,0,0,0,0,0,467
2026,4X2,BAIC,New Sirion 1.3 MT 2022,1329.0,G,CBU,INA,122,238,10,0,51,0,0,0,0,0,0,0,709
2026,4X2,BAIC,New Sirion R Cvt (Mc 2022),1329.0,G,CKD,INA,0,0,0,1,40,0,0,0,0,0,0,0,541
2026,4X2,BAIC,Gran Max BV 1.3 Non AC,1298.0,G,CKD,Malaysia,2,1,85,20,40,10,0,0,0,0,0,0,2
2026,4X2,BAIC,Gran Max BV 1.3 AC,1298.0,G,CKD,Malaysia,5,7,0,5,0,2391,0,0,0,0,0,0,196
2026,4X2,BAIC,Gran Max BV 1.5,1500.0,G,CKD,INA,0,0,0,0,25,63,0,0,0,0,0,0,1
2026,4X2,BAIC,Gran Max BV 1.5 AC AT,1496.0,G,CKD,INA,1,1,10,34,0,64,0,0,0,0,0,0,0
2026,4X2,BAIC,Gran Max MB 1.3 HI FF,1298.0,G,CKD,INA,16,11,2,25,0,66,0,0,0,0,0,0,50
2026,4X2,BAIC,Gran Max MB 1.3 HI,1298.0,G,CBU,INA,30,10,0,32,0,193,0,0,0,0,0,0,63
2026,4X2,BAIC,Gran Max MB 1.5 HI,1495.0,G,CKD,INA,27,20,30,29,10,259,0,0,0,0,0,0,11252
2026,4X2,BAIC,Luxio 1.5 X MT (New),1495.0,G,CKD,INA,0,0,7,2,1999,258,0,0,0,0,0,0,202
2026,4X2,BAIC,Luxio 1.5 X AT (New),1495.0,G,CKD,INA,0,0,1,3,111,125,0,0,0,0,0,0,437
2026,4X2,BAIC,Luxio 1.5 AK MT,1495.0,G,CKD,INA,0,5,19,6,107,15,0,0,0,0,0,0,1284
2026,4X2,BAIC,All New Terios IDS X MT (MC 2023),1496.0,G,CKD,INA,0,2,9,3,60,731,0,0,0,0,0,0,944
2026,4X2,BAIC,All New Terios IDS X AT (MC 2023),1496.0,G,CKD,INA,36,14,16,4,165,209,0,0,0,0,0,0,611
2026,4X2,BAIC,All New Terios IDS R MT (MC 2023),1496.0,G,CKD,INA,40,56,28,0,184,292,0,0,0,0,0,0,989
2026,4X2,BAIC,All New Terios IDS R AT (MC 2023),1496.0,G,CKD,INA,8,3,3,4,51,139,0,0,0,0,0,0,410
2026,4X2,BAIC,All New Terios IDS Custom MT (MC 2023),1496.0,G,CKD,INA,2,2,10,0,179,24,0,0,0,0,0,0,41
2026,4X2,BAIC,All New Terios IDS Custom AT (MC 2023),1496.0,G,CKD,INA,0,0,1,0,88,12,0,0,0,0,0,0,3672
2026,4X2,BAIC,Rocky 1.0 R CVT,998.0,G,CKD,INA,1,0,1,0,5,6,0,0,0,0,0,0,1259
2026,4X2,BAIC,Rocky 1.0 R MT,998.0,G,CKD,INA,2,2,0,2,647,0,0,0,0,0,0,0,1382
2026,4X2,BAIC,Rocky 1.2 X CVT,1198.0,G,CBU,INA,7,3,0,67,206,220,0,0,0,0,0,0,602
2026,4X2,BAIC,Rocky 1.2 X MT,1198.0,G,CKD,INA,25,61,0,97,258,49,0,0,0,0,0,0,156
2026,4X2,BAIC,Rocky 1.2 X HEV,1198.0,G,CKD,INA,56,81,16,36,114,78,0,0,0,0,0,0,84
2026,4X2,BAIC,GLORY I-AUTO,1498.0,HEV,CKD,INA,54,52,64,63,36,0,0,0,0,0,0,0,71
2026,4X2,BAIC,GELORA EC35 BLIND VAN B Type,1498.0,G,CKD,INA,73,82,79,102,24,12,0,0,0,0,0,0,0
2026,4X2,BAIC,GELORA EC35 BLIND VAN (4X2) A/T,,G,CKD,INA,1,21,34,0,5,10,0,0,0,0,0,0,795
2026,4X2,BAIC,GELORA EC36 MINI BUS 1.5 (4X2) A/T,,BEV,CKD,INA,1,0,52,0,0,0,0,0,0,0,0,0,309
2026,4X2,Seres,E502 EV (4X2) A/T,,BEV,CKD,INA,0,0,86,0,151,3,0,0,0,0,0,0,430
2026,4X2,Seres,E502 EV B (4X2) A/T,,BEV,CKD,INA,0,1,0,24,40,0,0,0,0,0,0,0,30
2026,4X2,Seres,3 (E3) L EV (4X2) A/T,,BEV,CKD,INA,0,10,0,48,72,0,0,0,0,0,0,0,52
2026,4X2,HAVAL,H6 Hev 1.5T DHT (4x2) A/T,1499.0,BEV,CKD,INA,0,1,19,9,0,0,0,0,0,0,0,0,76
2026,4X2,HAVAL,Jolion Hev 1.5T DHT (4x2) A/T,1497.0,HEV,CKD,INA,0,0,23,1,12,12,0,0,0,0,0,0,9
2026,4X2,HAVAL,ORA 03 400 PRO (4X2) A/T,,HEV,CKD,Thailand,14,5,23,1,18,17,0,0,0,0,0,0,95
2026,4X2,HAVAL,ORA 03 400 PRO (4X2) A/T,,BEV,CKD,INA,11,29,6,0,3,41,0,0,0,0,0,0,0
2026,4X2,HAVAL,EX5 PRO,,BEV,CKD,China,2,3,0,14,42,6,0,0,0,0,0,0,11
2026,4X2,HAVAL,EX5 MAX,,BEV,CKD,INA,7,94,34,4,0,342,0,0,0,0,0,0,30
2026,4X2,HAVAL,STARRAY EM-i PRO,1500.0,BEV,CKD,China,3,64,18,0,0,0,0,0,0,0,0,0,72
2026,4X2,HAVAL,STARRAY EM-i MAX,1500.0,PHEV,CKD,China,0,0,67,3179,0,45,0,0,0,0,0,0,222
2026,4X2,HAVAL,EX2 PRO,,PHEV,CKD,Indonesia,1942,2926,28,6,20,353,0,0,0,0,0,0,119
2026,4X2,HAVAL,EX2 MAX,,BEV,CKD,Indonesia,51,37,0,0,13,1265,0,0,0,0,0,0,49
2026,4X2,HAVAL,Brio RS,1198.0,BEV,CKD,INA,0,0,2959,11,70,0,0,0,0,0,0,0,1538
2026,4X2,HAVAL,Brio RS,1198.0,G,CKD,INA,31,32,53,0,2,120,0,0,0,0,0,0,0
2026,4X2,HAVAL,E:N1,,G,CKD,INA,0,0,0,15,290,11,0,0,0,0,0,0,255
2026,4X2,HAVAL,New HR-V RS,1497.0,BEV,CKD,INA,10,30,14,0,0,0,0,0,0,0,0,0,1894
2026,4X2,HAVAL,New HR-V E,1497.0,G,CKD,China,0,0,0,0,23,12,0,0,0,0,0,0,4688
2026,4X2,HAVAL,New HR-V E+,1497.0,G,CKD,INA,0,0,8,4,519,97,0,0,0,0,0,0,30
2026,4X2,HAVAL,New HR-V e:HEV,1497.0,G,CKD,INA,0,1,0,3,876,180,0,0,0,0,0,0,988
2026,4X2,HAVAL,New HR-V RS e:HEV,1497.0,HEV,CKD,INA,0,3,0,13,0,83,0,0,0,0,0,0,54
2026,4X2,HAVAL,WRV E,1500.0,HEV,CKD,INA,0,4,3,30,0,36,0,0,0,0,0,0,1
2026,4X2,HAVAL,WRV RS,1500.0,G,CKD,INA,0,9,3,0,0,172,0,0,0,0,0,0,75
2026,4X2,HAVAL,WRV RS 0 HS,1500.0,G,CKD,INA,0,0,15,0,0,154,0,0,0,0,0,0,472
2026,4X2,HAVAL,BR-V E,1500.0,G,CKD,INA,0,4,48,9,40,0,0,0,0,0,0,0,477
2026,4X2,HAVAL,BR-V E,1500.0,G,CKD,INA,0,6,0,8,116,21,0,0,0,0,0,0,2315
2026,4X2,HAVAL,BR-V E Prestige,1500.0,G,CKD,INA,0,3,8,15,220,66,0,0,0,0,0,0,228
2026,4X2,HAVAL,BR-V Prestige-HS,1500.0,G,CKD,INA,25,22,15,19,98,14,0,0,0,0,0,0,2318
2026,4X2,HAVAL,BR-V S (Taxi),1500.0,G,CKD,INA,15,52,0,0,21,0,0,0,0,0,0,0,518
2026,4X2,HAVAL,Venue,998.0,G,CKD,INA,0,0,16,0,279,1,0,0,0,0,0,0,22
2026,4X2,HAVAL,Creta Prime 1.5 IVT,1500.0,G,CKD,INA,0,2,41,5,68,0,0,0,0,0,0,0,291
2026,4X2,HAVAL,Creta Prime 1.5 IVT Two Tone,1500.0,G,CKD,India,0,0,0,39,0,1,0,0,0,0,0,0,129
2026,4X2,HAVAL,Creta FL Trend 1.5 MT,1500.0,G,CKD,INA,0,0,0,0,5,2,0,0,0,0,0,0,156
2026,4X2,HAVAL,Creta FL Trend 1.5 IVT,1500.0,G,CKD,INA,0,0,0,0,63,16,0,0,0,0,0,0,0
2026,4X2,HAVAL,Creta FL Style 1.5 IVT,1500.0,G,CKD,INA,0,0,55,0,37,4,0,0,0,0,0,0,20
2026,4X2,HAVAL,Creta FL Prime 1.5 IVT,1500.0,G,CKD,INA,11,0,0,0,0,46,0,0,0,0,0,0,3
2026,4X2,HAVAL,Creta FL Prime 1.5 IVT Two Tone,1500.0,G,CKD,INA,1,1,0,0,0,39,0,0,0,0,0,0,1
2026,4X2,HAVAL,Creta FL N Line 1.5 IVT,1500.0,G,CKD,INA,0,0,0,0,1,8,0,0,0,0,0,0,12
2026,4X2,HAVAL,Creta FL N Line 1.5 IVT Two Tone,1500.0,G,CKD,INA,0,0,0,0,0,111,0,0,0,0,0,0,134
2026,4X2,HAVAL,Creta FL N Line 1.5T IVT,1500.0,G,CKD,INA,0,0,0,0,2,3,0,0,0,0,0,0,75
2026,4X2,HAVAL,Creta FL N Line 1.5T IVT Two Tone,1500.0,G,CKD,INA,0,0,0,0,11,0,0,0,0,0,0,0,214
2026,4X2,HAVAL,Creta FL Alpha 1.5T IVT,1500.0,G,CKD,INA,5,0,0,0,5,3,0,0,0,0,0,0,146
2026,4X2,HAVAL,Creta FL Alpha 1.5T IVT Two Tone,1500.0,G,CKD,INA,3,1,0,0,2,36,0,0,0,0,0,0,196
2026,4X2,HAVAL,Stargazer Active MT,1500.0,G,CKD,INA,2,9,0,0,0,10,0,0,0,0,0,0,616
2026,4X2,HAVAL,Stargazer Active IVT,1500.0,G,CBU,INA,0,0,4,0,10,83,0,0,0,0,0,0,41
2026,4X2,HAVAL,Stargazer Trend MT 7 Seat,1500.0,G,CKD,INA,1,0,3,128,70,0,0,0,0,0,0,0,104
2026,4X2,HAVAL,Stargazer Prime 7 Seat,1500.0,G,CKD,INA,92,92,0,0,23,1,0,0,0,0,0,0,58
2026,4X2,HAVAL,Stargazer Prime 6 Seat,1500.0,G,CKD,INA,2,3,0,26,42,2,0,0,0,0,0,0,236
2026,4X2,HAVAL,Stargazer Prime 7 Seat Two Tone,1500.0,G,CKD,INA,17,2,80,0,1,4,0,0,0,0,0,0,46
2026,4X2,HAVAL,Stargazer Prime 6 Seat Two Tone,1500.0,G,CKD,INA,0,0,0,0,50,19,0,0,0,0,0,0,152
2026,4X2,HAVAL,Stargazer Essential MT 7 Seat,1500.0,G,CKD,INA,0,0,17,0,7,20,0,0,0,0,0,0,1
2026,4X2,HAVAL,Stargazer Essential MT 6 Seat,1500.0,G,CKD,INA,2,3,0,0,29,0,0,0,0,0,0,0,176
2026,4X2,HAVAL,Stargazer Essential IVT 7 Seat,1500.0,G,CKD,INA,0,0,0,5,0,184,0,0,0,0,0,0,414
2026,4X2,HAVAL,Stargazer Essential IVT 6 Seat,1500.0,G,CKD,INA,0,0,0,294,47,0,0,0,0,0,0,0,89
2026,4X2,HAVAL,Stargazer Cartenz Trend MT,1500.0,G,CKD,INA,0,0,0,13,52,22,0,0,0,0,0,0,260
2026,4X2,HAVAL,Stargazer Cartenz Trend IVT,1500.0,G,CKD,INA,4,13,24,8,16,20,0,0,0,0,0,0,65
2026,4X2,HAVAL,Stargazer Cartenz Style MT 7 Seat,1500.0,G,CKD,INA,1,4,72,0,59,2,0,0,0,0,0,0,0
2026,4X2,HAVAL,Stargazer Cartenz Style MT 6 Seat,1500.0,G,CKD,INA,1,0,5,4,4,0,0,0,0,0,0,0,1168
