year,category,brand,model,cc,fuel,cbu_ckd,country,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sales_volume
2025,SEDAN,BMW,All New Civic,1500.0,G,,,0,3,0,0,0,0,0,0,0,0,0,0,3
2025,SEDAN,BMW,New Civic 1.500 40 - 4542 x 1755 x 1435 - 4X2 FF,,-,CBU,Thailand,0,0,0,0,30,36,42,23,25,29,29,26,240
2025,SEDAN,BYD,AION ES CVT G 57,1285.0,-,CBU,Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,SEDAN,HYUNDAI HMID,i7 xDrive60 Limousine RHD AT,,-,CBU,Thailand,0,3,6,3,2,4,0,1,1,1,1,3,25
2025,SEDAN,MERCEDES BENZ PC,CBU i4 eDrive35 Gran Coupe AT,,HYBRID,,,0,2,1,2,0,0,2,10,1,1,10,7,36
2025,SEDAN,MERCEDES BENZ PC,,218.0,-,CBU,China,0,0,0,0,0,13,4,0,0,0,0,1,18
2025,SEDAN,MAZDA,218i Gran Coupe,1499.0,BEV,CBU,Germ any,0,2,7,1,0,0,0,1,0,8,0,0,19
2025,SEDAN,MORRIS GARAGE,218i Gran Coupe F74 1.499 - 2.545 140 2.670 4546 x 1800 x 1445 - 4X2 FF,,-,CKD,Germ any,0,0,0,0,0,0,0,0,1,2,1,0,4
2025,SEDAN,MORRIS GARAGE,Seal Dynamic,1499.0,BEV,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,SEDAN,TOYOTA,Seal Performance,,BEV,CBU,INA,42,5,100,60,157,0,0,7,57,6,13,7,454
2025,SEDAN,TOYOTA,Genesis G80 EV,,G,,,0,0,0,0,0,2,0,7,0,4,1,1,15
2025,SEDAN,TOYOTA,A 200 Sedan (V177) - - 2 - 3.010 4470 x 1820 x 1475 - 4X2,,-,CBU,China,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,SEDAN,TOYOTA,CLA 200 AMG Line (C118),1332.0,G,CBU,China,1,2,1,0,0,0,1,6,1,2,0,11,25
2025,SEDAN,TOYOTA,AMG CLA 45 S (C118) 1.332 - 2.265 163 2.729 - 5,,-,CBU,China,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,SEDAN,TOYOTA,C 200 AVA Line (W206),1332.0,G,CBU,South Korea,0,5,12,10,13,29,30,6,2,12,2,3,124
2025,SEDAN,TOYOTA,5 GT Activate 1.5L,1496.0,BEV,,,0,0,0,0,0,0,0,0,5,2,2,0,9
2025,SEDAN,TOYOTA,5 GT Magnify 1.5L,1498.0,BEV,,,0,0,2,1,0,1,3,8,17,48,6,1,87
2025,SEDAN,TOYOTA,ES90 Electric Vehicles,,BEV,CBU,INA,0,0,0,0,0,0,0,0,0,0,1,4,5
2025,SEDAN,TOYOTA,15-,,BEV,CBU,Thailand,307,143,402,202,270,91,158,119,161,142,92,89,2176
2025,SEDAN,AUDI,A5 2.0 TFSI,1984.0,G,CBU,Germany,0,12,1,1,1,0,2,3,0,0,5,1,1
2025,SEDAN,AUDI,A4 2.0 TFSI A/T,1984.0,G,CBU,Germany,0,0,2,2,0,0,1,0,0,0,0,0,1
2025,SEDAN,HONDA,320i CKD AT,1984.0,G,CBU,Germany,0,0,6,4,4,3,2,0,1,0,0,1,34
2025,SEDAN,LEXUS,330I 62FY A/T,1998.0,G,CBU,Germany,0,1,0,1,1,1,0,6,1,0,0,0,16
2025,SEDAN,MERCEDES-BENZ PC,M3 Competition M xDrive T AT,1998.0,G,CKD,INA,2,4,0,0,1,2,1,1,1,0,0,0,21
2025,SEDAN,SUBARU,M3 Competition M xDrive 32HJ A/T,1998.0,G,CKD,INA,2,2,0,1,0,0,0,2,1,2,0,0,2
2025,SEDAN,SUBARU,430i AT,2993.0,G,CBU,Germany,0,3,0,1,1,1,0,2,2,1,0,0,8
2025,SEDAN,SUBARU,M4 Coupe Com petition M xDrive 42BA AT,2993.0,G,CBU,Germany,0,0,0,0,0,0,0,2,0,0,3,5,52
2025,SEDAN,SUBARU,i5 eDrive40,2993.0,G,CBU,Germany,0,0,0,0,0,0,0,0,0,0,1,0,131
2025,SEDAN,SUBARU,i5 eDrive40 (12HH) A/T,2993.0,G,CBU,Germany,2,6,9,3,11,4,16,0,7,4,0,0,0
2025,SEDAN,SUBARU,Z4 sDrive30i AT,1998.0,G,,,2,4,16,1,0,0,0,0,7,5,0,0,4
2025,SEDAN,SUBARU,Mustang 2.3L (4x2) A/T,1998.0,G,CBU,Germany,0,0,0,0,3,6,1,1,0,1,0,3,18
